========================================================================================================================
VISIBLE CONTROLS: after_click
========================================================================================================================

seq=0053 | title='Design Specifications' | type='ToolBar' | class='' | auto_id='' | rect={'left': 517, 'top': 75, 'right': 720, 'bottom': 203, 'width': 203, 'height': 128} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Home'
seq=0057 | title='Library' | type='ToolBar' | class='' | auto_id='' | rect={'left': 722, 'top': 75, 'right': 970, 'bottom': 203, 'width': 248, 'height': 128} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Home'
seq=0061 | title='Ground' | type='ToolBar' | class='' | auto_id='' | rect={'left': 972, 'top': 75, 'right': 1149, 'bottom': 203, 'width': 177, 'height': 128} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Home'
seq=0064 | title='Units' | type='ToolBar' | class='' | auto_id='' | rect={'left': 1151, 'top': 75, 'right': 1279, 'bottom': 203, 'width': 128, 'height': 128} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Home'
seq=0066 | title='Export' | type='ToolBar' | class='' | auto_id='' | rect={'left': 1281, 'top': 75, 'right': 1348, 'bottom': 203, 'width': 67, 'height': 128} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Home'
seq=0068 | title='Reports' | type='ToolBar' | class='' | auto_id='' | rect={'left': 1350, 'top': 75, 'right': 1719, 'bottom': 203, 'width': 369, 'height': 128} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Home'
seq=0074 | title='Help & Tutorials' | type='ToolBar' | class='' | auto_id='' | rect={'left': 1721, 'top': 75, 'right': 1857, 'bottom': 203, 'width': 136, 'height': 128} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Home'
seq=0044 | title='Separator' | type='Separator' | class='' | auto_id='' | rect={'left': 117, 'top': 77, 'right': 121, 'bottom': 177, 'width': 4, 'height': 100} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='View'
seq=0049 | title='Add Bridge' | type='Button' | class='' | auto_id='' | rect={'left': 299, 'top': 77, 'right': 418, 'bottom': 107, 'width': 119, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Commands'
seq=0052 | title='Refresh Bridge' | type='Button' | class='' | auto_id='' | rect={'left': 449, 'top': 77, 'right': 510, 'bottom': 175, 'width': 61, 'height': 98} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Commands'
seq=0054 | title='Design Specifications' | type='ComboBox' | class='' | auto_id='' | rect={'left': 521, 'top': 77, 'right': 715, 'bottom': 107, 'width': 194, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Design Specifications'
